SRC_ID,Anchor,TGT_ID,Target,context,score,dataset
1,abatement,734,abatement_of_pollution,A47,0.5,train
1,abatement,735,act_of_abating,A47,0.75,train
1,abatement,736,active_catalyst,A47,0.25,train
1,abatement,737,eliminating_process,A47,0.5,train
1,abatement,738,forest_region,A47,0,train
1,abatement,739,greenhouse_gases,A47,0.25,train
1,abatement,740,increased_rate,A47,0.25,train
1,abatement,741,measurement_level,A47,0.25,train
1,abatement,742,minimising_sounds,A47,0.5,train
1,abatement,743,mixing_core_materials,A47,0.25,train
1,abatement,744,multi_pollution_abatement_device,A47,0.5,train
1,abatement,745,noise_reduction,A47,0.5,train
1,abatement,746,pollution_abatement,A47,0.5,train
1,abatement,747,pollution_abatement_incinerator,A47,0.5,train
1,abatement,748,pollution_certificate,A47,0,train
1,abatement,749,rent_abatement,A47,0,train
1,abatement,750,sorbent_material,A47,0.25,train
1,abatement,751,source_items_pollution_abatement_technology,A47,0.5,train
1,abatement,752,stone_abutments,A47,0,train
1,abatement,753,tax_abatement,A47,0,train
1,abatement,754,water_bodies,A47,0,train
1,abatement,755,emission_abatement,A61,0.5,train
1,abatement,756,prevention,A61,0.5,train
1,abatement,757,prophylaxis,A61,0.25,train
1,abatement,746,pollution_abatement,A62,0.5,train
1,abatement,758,abatement_apparatus,C01,0.5,train
1,abatement,759,treatment,F16,0,train
1,abatement,758,abatement_apparatus,F24,0.5,train
1,abatement,760,abating,F24,1,train
1,abatement,761,central_hub,F24,0,train
1,abatement,762,control_panel,F24,0,train
1,abatement,763,deficiency,F24,0.25,train
1,abatement,764,diminished_chord,F24,0,train
1,abatement,765,diminished_image,F24,0,train
1,abatement,766,diminishing,F24,0.5,train
1,abatement,767,eliminating,F24,0.5,train
1,abatement,768,eliminating_emissions,F24,0.25,train
1,abatement,769,eliminating_pollutants,F24,0.5,train
1,abatement,770,increasing,F24,0.25,train
1,abatement,771,increasing_order,F24,0,train
1,abatement,772,mitigation,F24,0.25,train
1,abatement,773,pollution_control,F24,0.25,train
1,abatement,774,processing_unit,F24,0,train
1,abatement,775,removing_air_pollutants,F24,0.5,train
1,abatement,776,subsiding,F24,0.5,train
1,abatement,777,treating_emissions,F24,0.5,train
1,abatement,778,noise_abatement,F28,0.5,train
1,abatement,778,noise_abatement,H01,0.5,train
1,abatement,755,emission_abatement,H04,0.5,train
2,abnormal_position,779,abnormal_position_data,B23,0.5,train
2,abnormal_position,780,attitude,B23,0.25,train
2,abnormal_position,781,closed_position_shown,B23,0.25,train
2,abnormal_position,782,condition_illustrated,B23,0.25,train
2,abnormal_position,783,condition_shown,B23,0.25,train
2,abnormal_position,784,data,B23,0.25,train
2,abnormal_position,785,information,B23,0.25,train
2,abnormal_position,786,inoperative_condition,B23,0.5,train
2,abnormal_position,787,inoperative_position,B23,0.5,train
2,abnormal_position,788,open_as_shown,B23,0.25,train
2,abnormal_position,789,open_condition,B23,0.25,train
2,abnormal_position,790,open_position,B23,0.25,train
